intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1610000,0.1696522655426765,0.7666666666666667,0.1696522655426765,0.21897374701670644,9.118012422360248,5.0,25.249409040987484,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000188175.1 Phascolarctobacterium succinatutens YIT 12067,c90964210746f7c7ce1dc8419f0465dc,0.7666666666666667,1610000,0,7880000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9658136225924336,0.9948036818194337,0.9803086522059337,0.9948036818194337,False,1468,1468,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
1600000,0.16859852476290832,0.12,0.02845100105374078,0.028937947494033413,7.185185185185185,4.0,10.424462103671901,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004557745.1 Phascolarctobacterium sp.,bd60db0343f75cedcf2f5b5458e684ec,0.7111111111111111,270000,1,7610000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9656956386264447,0.9933374587666431,0.9795165486965439,0.9933374587666431,False,194,1662,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
200000,0.02107481559536354,0.14285714285714285,0.02107481559536354,0.012529832935560859,4.2,4.0,2.2715633383201093,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945949475.1 uncultured Phascolarctobacterium sp.,74363dd08844650db75a8cfe97a737d7,0.14285714285714285,200000,2,7410000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9271128983734419,0.9625636347671247,0.9448382665702832,0.9625636347671247,False,84,1746,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp945949475
160000,0.01685985247629083,0.07291666666666667,0.014752370916754479,0.007010739856801909,3.357142857142857,1.5,4.336014345936054,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_937984015.1 uncultured Phascolarctobacterium sp.,e0cfdc977895caf17cc430ba4a64b072,0.08333333333333333,140000,3,7270000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9230653035116893,0.9524442919820304,0.9377547977468599,0.9524442919820304,False,47,1793,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900553055
1560000,0.1643835616438356,0.061611374407582936,0.0136986301369863,0.06443914081145585,33.23076923076923,5.0,79.21359037064464,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_958444585.1 Phascolarctobacterium succinatutens,4b658ecfab8dfc46b08214fdafd32985,0.7393364928909952,130000,4,7140000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9652163596244613,0.9940958878600448,0.979656123742253,0.9940958878600448,False,432,2225,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
140000,0.014752370916754479,0.039285714285714285,0.011591148577449948,0.15960620525059666,97.27272727272727,2.0,298.12538268596467,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_041324565.1 Gemmiger qucibialis,cfd00a926f373110bb20563b23a8fc9c,0.05,110000,5,7030000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9206516373345107,0.9429520476395572,0.931801842487034,0.9429520476395572,False,1070,3295,6704,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
400000,0.04214963119072708,0.048672566371681415,0.011591148577449948,0.004624105011933174,2.8181818181818183,3.0,1.3360853142453697,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_037370665.1 Phascolarctobacterium succinatutens,00f92e9eee877497cdfeabd07bf002ce,0.17699115044247787,110000,6,6920000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9397994188626602,0.9666159386635896,0.953207678763125,0.9666159386635896,False,31,3326,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_B
90000,0.009483667017913594,0.013435700575815739,0.007376185458377239,0.0625,59.857142857142854,24.0,70.79634488432006,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_012524165.2 Faecalicatena faecalis,1af9b3500bd306173045ba9c6bd5f627,0.01727447216890595,70000,7,6850000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9127101254989775,0.9235051242091109,0.9181076248540442,0.9235051242091109,False,419,3745,6704,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena_A;s__Faecalicatena_A faecalis
1520000,0.1601685985247629,0.033816425120772944,0.007376185458377239,0.004922434367541766,4.714285714285714,5.0,2.602981022612657,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_023497905.1 Phascolarctobacterium succinatutens,44ca03cd188471971178a61ff5969afd,0.7342995169082126,70000,8,6780000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.9647248776510865,0.9939626461075229,0.9793437618793047,0.9939626461075229,False,33,3778,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens
80000,0.008429926238145416,0.03571428571428571,0.006322444678609062,0.0011933174224343676,1.3333333333333333,1.0,0.4714045207910317,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022787345.1 Phascolarctobacterium sp.,15b042afe150b0dd06384db0290e5c9d,0.047619047619047616,60000,9,6720000,outputs.mapping/bams.cds.rand/SRR14812375.x.s__Phascolarctobacterium_A succinatutens.fastq.gz,SRR14812375.x.s__Phascolarctobacterium_A succinatutens,8eef9af6,9490000,51,DNA,10000,949,True,0.910604679839396,0.9420503851773752,0.9263275325083855,0.9420503851773752,False,8,3786,6704,d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp004558595
