intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
2220000,0.03211340951829886,0.9173553719008265,0.03211340951829886,0.44713136085198385,100.61261261261261,95.0,82.88760121704934,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_028308535.1 Lactobacillus amylovorus,316d51968b8faa0e2930578972be1313,0.9173553719008265,2220000,0,66910000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9348013728394196,0.9983100502761748,0.9665557115577972,0.9983100502761748,False,22336,22336,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
1080000,0.015622739765658903,0.4592274678111588,0.015478084767828729,0.04247908075429395,19.83177570093458,6.0,64.50783999027848,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_012843635.1 Limosilactobacillus reuteri,9639afd1941534ee2484545de9a3fe84,0.463519313304721,1070000,1,65840000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9216870265003156,0.9850364708191501,0.9533617486597329,0.9850364708191501,False,2122,24458,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_I
960000,0.013886879791696803,0.4080717488789238,0.013163604802545928,0.01455338911798855,7.989010989010989,4.0,11.845613557782425,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_946407415.1 uncultured Lactobacillus sp.,1c25d83e80557c4159e9f5f5cdedbb0c,0.4304932735426009,910000,2,64930000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9195608728670612,0.9836098518766736,0.9515853623718674,0.9836098518766736,False,727,25185,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
2090000,0.030232894546506583,0.2938775510204082,0.010415159843772602,0.05140729471113424,35.666666666666664,21.0,39.4458137477505,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_028309085.1 Lactobacillus amylovorus,ca37f7a6b47a872f44aa6b9c6ee6e2eb,0.8530612244897959,720000,3,64210000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9336959712236287,0.9968886941244038,0.9652923326740163,0.9968886941244038,False,2568,27753,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
2130000,0.03081151453782728,0.17699115044247787,0.005786199913207001,0.04197862033070425,52.425,43.0,57.32839065419506,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_028308325.1 Lactobacillus amylovorus,3c0e8e40f60a5f0d712829f5b41bd6ca,0.9424778761061947,400000,4,63810000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9340431127534695,0.9988390502367016,0.9664410814950856,0.9988390502367016,False,2097,29850,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
330000,0.004773614928395776,0.13452914798206278,0.0043396499349052505,0.01527405212795772,25.433333333333334,2.5,29.224057821520187,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_004361515.1 Lactobacillus crispatus,13be7ba944faa12c2f30cab83f3dcbc2,0.14798206278026907,300000,5,63510000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9005072290698675,0.9632290893778999,0.9318681592238837,0.9632290893778999,False,763,30613,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
2000000,0.028930999566035006,0.12669683257918551,0.004050339939244901,0.015053849541578252,26.857142857142858,7.5,42.11948504443238,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_028308685.1 Lactobacillus amylovorus,65e1f3a4ff77dae7810eed784043def3,0.9049773755656109,280000,6,63230000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9328904681224421,0.998044163479723,0.9654673158010826,0.998044163479723,False,752,31365,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
650000,0.009402574858961376,0.1256544502617801,0.003471719947924201,0.0012811786843896385,2.6666666666666665,2.0,1.699673171197595,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_001714745.1 Lactobacillus johnsonii,76c11ef6a629fb74dec59568bf1241dd,0.3403141361256545,240000,7,62990000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9125564544310353,0.9790867566980463,0.9458216055645408,0.9790867566980463,False,64,31429,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus sp945980025
1930000,0.02791841458122378,0.09767441860465116,0.0030377549544336755,0.015013812707691076,35.714285714285715,14.0,47.60166349348454,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_005049155.1 Lactobacillus amylovorus,d0acc89e366458223089ce7a3975144d,0.8976744186046511,210000,8,62780000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9322390044327958,0.9978856141711131,0.9650623093019545,0.9978856141711131,False,750,32179,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
230000,0.003327064950094026,0.08482142857142858,0.0027484449587733255,0.004584217480081675,12.052631578947368,3.0,21.3824169876253,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000248095.2 Limosilactobacillus mucosae LM1,da2fb8eaaf780100a3997f5a1d21ebc6,0.10267857142857142,190000,9,62590000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.8941553229264996,0.9563508568805967,0.9252530899035482,0.9563508568805967,False,229,32408,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus mucosae
2000000,0.028930999566035006,0.07373271889400922,0.0023144799652828007,0.004343996476758618,13.5625,5.5,18.76155893709262,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_028308545.1 Lactobacillus amylovorus,dcc825c8d3fbc5f6207c54405145e5b0,0.9216589861751152,160000,10,62430000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9328904681224421,0.9984016711022394,0.9656460696123408,0.9984016711022394,False,217,32625,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
2060000,0.02979892955301606,0.06808510638297872,0.0023144799652828007,0.006245746086399487,19.5,8.5,21.682366107046526,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_006384175.1 Lactobacillus amylovorus,ac98875ba0d357b62d2e2b324fea54b7,0.8765957446808511,160000,11,62270000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9334313135628307,0.9974207956942975,0.9654260546285641,0.9974207956942975,False,312,32937,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
1710000,0.02473600462895993,0.06198347107438017,0.0021698249674526253,0.0021019337790767504,7.0,3.0,8.140434058861153,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_021398395.1 Lactobacillus amylovorus,03eca8591b1d39a90c3203eed09e17a4,0.7066115702479339,150000,12,62120000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9300293577393379,0.9932138332905164,0.9616215955149272,0.9932138332905164,False,105,33042,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
450000,0.006509474902357876,0.07614213197969544,0.0021698249674526253,0.005184769988389318,17.266666666666666,6.0,27.503858315193202,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_902374125.1 Lactobacillaceae bacterium,06ecdf9b7b4ea33370f69c163091c582,0.22842639593908629,150000,13,61970000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9060003221402969,0.9714632985553391,0.9387318103478179,0.9714632985553391,False,259,33301,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus sp946487795
670000,0.009691884854621727,0.0797872340425532,0.0021698249674526253,0.0007807182607999359,2.6,2.0,2.6280537792569367,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945864965.1 Lactobacillus johnsonii,31a56e4aa3363610e6a3686d412bbc3f,0.35638297872340424,150000,14,61820000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9130988771884346,0.9799728818489221,0.9465358795186783,0.9799728818489221,False,39,33340,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii
150000,0.0021698249674526253,0.08187134502923976,0.0020251699696224503,0.016915562317331944,60.357142857142854,3.0,122.81496368978192,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531925.1 Streptococcus alactolyticus,0aa9a34b41e9aed12cf9fbf1372417ac,0.08771929824561403,140000,15,61680000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.8866924965948682,0.9534026955344609,0.9200475960646646,0.9534026955344609,False,845,34185,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium
1750000,0.02531462462028063,0.05405405405405406,0.0017358599739621004,0.0026824678704408054,11.166666666666666,12.5,8.284859014424379,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034115305.1 Lactobacillus amylovorus,65a0aa43917458e4176370713b44a7d7,0.7882882882882883,120000,16,61560000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9304511107320678,0.995346324648478,0.9628987176902729,0.995346324648478,False,134,34319,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus
500000,0.0072327498915087515,0.04932735426008968,0.0015912049761319254,0.0066461144252712495,30.181818181818183,2.0,88.18350513850307,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_034745155.1 Limosilactobacillus reuteri,46921fc705181ff1b303ec57ee2758f1,0.2242152466367713,110000,17,61450000,outputs.mapping/bams.cds.rand/SRR11805643.x.s__Lactobacillus amylovorus.fastq.gz,SRR11805643.x.s__Lactobacillus amylovorus,1b7a1c24,69130000,51,DNA,10000,6913,True,0.9078739560748158,0.971108921449877,0.9394914387623464,0.971108921449877,False,332,34651,49954,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri
