intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1430000,0.19508867667121418,0.7526315789473684,0.19508867667121418,0.20839363241678727,6.041958041958042,6.0,3.2384795834195925,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_937896245.1 uncultured Lachnospiraceae bacterium,2fa4117b12452fb62408f58b9b1d5621,0.7526315789473684,1430000,0,5900000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9684628849666316,0.9944433496908286,0.9814531173287301,0.9944433496908286,False,864,864,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595
1400000,0.19099590723055934,0.116,0.03956343792633015,0.035938253738543174,5.137931034482759,3.0,6.224114050961926,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004552595.1 Lachnospiraceae bacterium,fb98018f0ff05e46cd82d942455d44aa,0.56,290000,1,5610000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9680603499945089,0.9886953926450568,0.9783778713197828,0.9886953926450568,False,149,1013,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595
1400000,0.19099590723055934,0.07368421052631578,0.019099590723055934,0.016401350699469366,4.857142857142857,4.5,2.7217941261796645,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_016292865.1 Lachnospiraceae bacterium,8534017bed38e74158277b49ad84792d,0.7368421052631579,140000,2,5470000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9680603499945089,0.994030016116296,0.9810451830554024,0.994030016116296,False,68,1081,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595
1340000,0.18281036834924966,0.05084745762711865,0.01637107776261937,0.05812831644958997,20.083333333333332,6.0,37.54876458982669,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022775645.1 Lachnospiraceae bacterium,737b1838efa2bfb429f3f0316c003db1,0.5677966101694916,120000,3,5350000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9672292641563489,0.9889634718675923,0.9780963680119705,0.9889634718675923,False,241,1322,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595
130000,0.017735334242837655,0.05365853658536585,0.015006821282401092,0.04389773275446213,16.545454545454547,4.0,40.97086245428492,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531795.1 Lacrimispora saccharolytica,b9f95aaa82634ee90dd5ff5803ed0dee,0.06341463414634146,110000,4,5240000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9239820135174696,0.9473566749292992,0.9356693442233843,0.9473566749292992,False,182,1504,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Colinaster;s__Colinaster sp018056665
100000,0.013642564802182811,0.026881720430107527,0.013642564802182811,0.006753497346840328,2.8,3.0,1.3266499161421599,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004556565.1 Lachnospiraceae bacterium,edb00f169e376430fe98e2e4c3b24f96,0.026881720430107527,100000,5,5140000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9192408884742311,0.9315475766584863,0.9253942325663587,0.9315475766584863,False,28,1532,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp004556565
80000,0.010914051841746248,0.021447721179624665,0.010914051841746248,0.02291365171249397,11.875,3.0,16.112398176559566,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004554075.1 Treponema sp.,c1b576559310fababd5ec90cbc576bf5,0.021447721179624665,80000,6,5060000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9152276612788927,0.9274318009148259,0.9213297310968593,0.9274318009148259,False,95,1627,4146,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp004554075
1370000,0.1869031377899045,0.033816425120772944,0.009549795361527967,0.0074770863482875064,4.428571428571429,5.0,1.840585532389304,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945877825.1 uncultured Lachnospiraceae bacterium,5d89ca24a7d1f9d3f163e73a383fad2b,0.6618357487922706,70000,7,4990000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.967649267964819,0.9919397599861999,0.9797945139755094,0.9919397599861999,False,31,1658,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2868;s__UBA2868 sp004552595
60000,0.008185538881309686,0.015873015873015872,0.008185538881309686,0.04775687409551375,33.0,24.5,28.629821282478634,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_004345265.1 Fournierella massiliensis,cd61f4dda48a25ba751a64cf6a9c5c2f,0.015873015873015872,60000,8,4930000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9100795556840146,0.9219742946423962,0.9160269251632054,0.9219742946423962,True,198,1856,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__Fournierella massiliensis
70000,0.009549795361527967,0.02247191011235955,0.008185538881309686,0.00482392667631452,3.3333333333333335,3.0,1.699673171197595,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034089445.1 Bariatricus sp.,9d20418ff58b4b6be00dd7d677cf98ec,0.026217228464419477,60000,9,4870000,outputs.mapping/bams.cds.rand/ERR1135199.x.s__UBA2868 sp004552595.fastq.gz,ERR1135199.x.s__UBA2868 sp004552595,fc22eb7b,7330000,51,DNA,10000,733,True,0.9128344892659885,0.931090504492082,0.9219624968790352,0.931090504492082,False,20,1876,4146,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
