intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
70000,0.017721518987341773,0.020289855072463767,0.017721518987341773,0.061384414453635176,40.285714285714285,6.0,69.54898435268336,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_964242535.1 Mediterraneibacter gnavus CC55_001C,8b944c66e21ec7eb2b3807f21dc4c203,0.020289855072463767,70000,0,3880000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9239678953355988,0.9264231332662419,0.9251955143009203,0.9264231332662419,False,282,282,4594,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus
50000,0.012658227848101266,0.009157509157509158,0.012658227848101266,0.00979538528515455,9.0,6.0,7.848566748139434,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_015548495.1 Bacteroides fragilis,4d667b78b335031c3509e90de793f50d,0.009157509157509158,50000,1,3830000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9178920865148493,0.9120840271636347,0.914988056839242,0.9178920865148493,True,45,327,4594,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
40000,0.010126582278481013,0.01532567049808429,0.010126582278481013,0.11014366565084893,126.5,37.5,173.4250558598728,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_002128515.1 Limosilactobacillus reuteri,d5ae3ccf56e2809b1a47738b90552564,0.01532567049808429,40000,2,3790000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9138847479269178,0.9213401345091207,0.9176124412180192,0.9213401345091207,True,506,833,4594,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_I
30000,0.007594936708860759,0.00949367088607595,0.007594936708860759,0.0058772311710927295,9.0,1.0,11.313708498984761,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_949458435.1 uncultured Lachnospiraceae bacterium,541afc5a18fcaba2a94f929e79bae2ed,0.00949367088607595,30000,3,3760000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9087441961462798,0.9127289936735792,0.9107365949099295,0.9127289936735792,True,27,860,4594,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__CAG-510 sp910578335
30000,0.007594936708860759,0.0064794816414686825,0.007594936708860759,0.00239442751414889,3.6666666666666665,1.0,3.7712361663282534,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022693605.1 [Clostridium] innocuum,406f9c3d6f74a99b881f84e65e4e8092,0.0064794816414686825,30000,4,3730000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9087441961462798,0.90591828345323,0.9073312397997548,0.9087441961462798,True,11,871,4594,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum
30000,0.007594936708860759,0.012,0.007594936708860759,0.0008707009142359599,1.3333333333333333,1.0,0.4714045207910317,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_901543075.1 Enterococcus hirae,b5c04c1340169fbd832f44f3c6832d16,0.012,30000,5,3700000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9087441961462798,0.9169314885235516,0.9128378423349157,0.9169314885235516,True,4,875,4594,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae
30000,0.007594936708860759,0.015,0.007594936708860759,0.21854592947322596,334.6666666666667,360.0,149.67817327705316,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_027583955.1 Lactobacillus crispatus,fb3e28616a2c99f5023215f0df582d93,0.015,30000,6,3670000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9087441961462798,0.9209521869155373,0.9148481915309086,0.9209521869155373,True,1004,1879,4594,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus
20000,0.005063291139240506,0.007692307692307693,0.005063291139240506,0.00043535045711797995,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_018986645.1 Staphylococcus aureus,df4a34abd8d11674a1da17e4dd756194,0.007692307692307693,20000,7,3650000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9015480542169025,0.9089712150027334,0.905259634609818,0.9089712150027334,True,2,1881,4594,d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
50000,0.012658227848101266,0.007547169811320755,0.005063291139240506,0.00130605137135394,3.0,3.0,1.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_900411325.1 Amedibacterium intestinale,acdbe26f566ca2d4bf604284094e2794,0.018867924528301886,20000,8,3630000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9178920865148493,0.9251042352607212,0.9214981608877852,0.9251042352607212,True,6,1887,4594,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacterium;s__Amedibacterium intestinale
20000,0.005063291139240506,0.009615384615384616,0.005063291139240506,0.00544188071397475,12.5,12.5,11.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022743665.1 Bifidobacterium pseudocatenulatum,b1245a29fe465f21cd4fe35210e79fbf,0.009615384615384616,20000,9,3610000,outputs.mapping/bams.cds.rand/SRR12795790.x.s__UBA2868 sp004552595.fastq.gz,SRR12795790.x.s__UBA2868 sp004552595,c961d87e,3950000,51,DNA,10000,395,True,0.9015480542169025,0.9129570079962835,0.9072525311065931,0.9129570079962835,True,25,1912,4594,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum
