intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1550000,0.06368118323746919,0.8516483516483516,0.06368118323746919,0.11557469295884915,15.238709677419354,16.0,8.242364107281547,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_937976225.1 uncultured Mogibacterium sp.,eda441da348b673c2c5767240ebc7255,0.8516483516483516,1550000,0,22790000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9474345929267798,0.996856293587402,0.9721454432570908,0.996856293587402,False,2362,2362,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium_A;s__Mogibacterium_A kristiansenii
1550000,0.06368118323746919,0.18226600985221675,0.015201314708299097,0.030288202769486714,16.72972972972973,9.0,28.983358364570453,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009695905.1 Mogibacterium kristiansenii,aa4bcf5cd06035d4058a26c9ebece50a,0.7635467980295566,370000,1,22420000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9474345929267798,0.9947241456387025,0.9710793692827411,0.9947241456387025,False,619,2981,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium_A;s__Mogibacterium_A kristiansenii
1540000,0.06327033689400165,0.0855614973262032,0.00657354149548069,0.005920634143954592,7.5625,5.5,5.989248179028817,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_036302585.1 Clostridia bacterium,5e094c09ccc62669e2c4eb7279e1cfc4,0.8235294117647058,160000,2,22260000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9473143596908596,0.9962002566885372,0.9717573081896984,0.9962002566885372,False,121,3102,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium_A;s__Mogibacterium_A kristiansenii
150000,0.006162695152013147,0.026223776223776224,0.006162695152013147,0.08303567059744581,113.13333333333334,29.0,214.46207641963701,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000371545.1 [Clostridium] clostridioforme 90A6,b360ac44cb0bacf1a9cb01b1903c7c7c,0.026223776223776224,150000,3,22110000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9050283220978192,0.9310950635434866,0.9180616928206529,0.9310950635434866,False,1697,4799,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
150000,0.006162695152013147,0.05067567567567568,0.006162695152013147,0.0028869207809365366,3.933333333333333,2.0,4.4342104395509025,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_022772165.1 Flintibacter sp.,aeb0e92623902e0d51063c804fcc19a5,0.05067567567567568,150000,4,21960000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9050283220978192,0.9432002619597054,0.9241142920287624,0.9432002619597054,False,59,4858,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000177015
150000,0.006162695152013147,0.03439153439153439,0.005341002465078061,0.01732152468561922,27.23076923076923,21.0,27.42304995143781,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040096555.1 Coprococcus intestinihominis,b0eaca5ba589f9715c39079e7665ea4d,0.03968253968253968,130000,5,21830000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9050283220978192,0.9386886312537718,0.9218584766757956,0.9386886312537718,False,354,5212,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis
1430000,0.05875102711585867,0.0670391061452514,0.0049301561216105174,0.003816607134119489,6.5,3.5,6.006940430313366,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004554935.1 [Eubacterium] saphenum,5335ff91ae057c1aee755c224b49fd26,0.7988826815642458,120000,6,21710000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.9459388192087609,0.995606909826538,0.9707728645176494,0.995606909826538,False,78,5290,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium_A;s__Mogibacterium_A kristiansenii
110000,0.0045193097781429745,0.04583333333333333,0.0045193097781429745,0.002935851641630376,5.454545454545454,5.0,5.959921237485006,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034099845.1 Faecousia sp.,5f934a406218ceb63e362d93f2fbd61c,0.04583333333333333,110000,7,21600000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.8995411222777202,0.9413446436200132,0.9204428829488667,0.9413446436200132,False,60,5350,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp034099845
110000,0.0045193097781429745,0.03557312252964427,0.0036976170912078883,0.0037676762734256495,8.555555555555555,5.0,6.184408911144776,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_003435415.1 Faecalicoccus pleomorphus,8c1715b0824d8b3e115ca7dbb1d46701,0.043478260869565216,90000,8,21510000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.8995411222777202,0.9403714908637417,0.919956306570731,0.9403714908637417,False,77,5427,20437,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus;s__Faecalicoccus sp900546545
90000,0.0036976170912078883,0.029315960912052116,0.0036976170912078883,0.05636835151930322,128.0,25.0,310.72495876578694,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_009876955.1 Bittarella massiliensis (ex Durand et al. 2017),3baea426bc15582e037d93291a35240f,0.029315960912052116,90000,9,21420000,outputs.mapping/bams.cds.rand/SRR12795793.x.s__Mogibacterium_A kristiansenii.fastq.gz,SRR12795793.x.s__Mogibacterium_A kristiansenii,13b0f33d,24340000,51,DNA,10000,2434,True,0.8960086344976829,0.9331322907513206,0.9145704626245017,0.9331322907513206,False,1152,6579,20437,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Bittarella;s__Bittarella massiliensis
