intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
100000,0.046296296296296294,0.026455026455026454,0.046296296296296294,0.17525773195876287,8.5,1.5,17.968027159373953,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040096555.1 Coprococcus intestinihominis,b0eaca5ba589f9715c39079e7665ea4d,0.026455026455026454,100000,0,2060000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9415301683667713,0.9312553660437812,0.9363927672052763,0.9415301683667713,False,85,85,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis
60000,0.027777777777777776,0.017804154302670624,0.027777777777777776,0.018556701030927835,1.5,1.5,0.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_030839395.1 Blautia obeum,6b7916d6591bfa1e57e028266fc5f396,0.017804154302670624,60000,1,2000000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9321466962947733,0.9240521823485779,0.9280994393216756,0.9321466962947733,True,9,94,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae
70000,0.032407407407407406,0.024390243902439025,0.027777777777777776,0.012371134020618556,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_021531975.1 Faecalicatena contorta,4bbb84c6c52428215cbefce961d2b180,0.028455284552845527,60000,2,1940000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9349684300881651,0.9325872406221268,0.933777835355146,0.9349684300881651,False,6,100,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAFBIY01;s__JAFBIY01 sp021531975
50000,0.023148148148148147,0.01606425702811245,0.018518518518518517,0.012371134020618556,1.5,1.5,0.5,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_037333145.1 bacterium,b8b509d137e9e34023e124b2693c1fc6,0.020080321285140562,40000,3,1900000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9288202841803588,0.9262345850931617,0.9275274346367602,0.9288202841803588,True,6,106,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385
50000,0.023148148148148147,0.014760147601476014,0.018518518518518517,0.010309278350515464,1.25,1.0,0.4330127018922193,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022782135.1 Lachnospiraceae bacterium,ed16bb5af09b1b5f827e7a4b5dc1e149,0.01845018450184502,40000,4,1860000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9288202841803588,0.9246982037244932,0.9267592439524259,0.9288202841803588,True,5,111,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAFBIX01;s__JAFBIX01 sp021531895
40000,0.018518518518518517,0.015267175572519083,0.018518518518518517,0.010309278350515464,1.25,1.0,0.4330127018922193,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945872445.1 uncultured Dorea sp.,657e190970aba33fbd46678a682f5e0a,0.015267175572519083,40000,5,1820000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9247652352037607,0.9212710529122983,0.9230181440580295,0.9247652352037607,True,5,116,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAFBIX01;s__JAFBIX01 sp021531895
30000,0.013888888888888888,0.00974025974025974,0.013888888888888888,0.1154639175257732,18.666666666666668,17.0,13.523641850067197,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_020558075.1 bacterium 210820-DFI.6.52,a1a6340401616f611b4db8461fa21306,0.00974025974025974,30000,6,1790000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9195634812766026,0.9131880225893525,0.9163757519329776,0.9195634812766026,True,56,172,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Bittarella;s__Bittarella massiliensis
40000,0.018518518518518517,0.013392857142857142,0.013888888888888888,0.006185567010309278,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945947505.1 uncultured bacterium,e11b17d6f92655e869f92e5918a7ee33,0.017857142857142856,30000,7,1760000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9247652352037607,0.9241060284450854,0.9244356318244231,0.9247652352037607,True,3,175,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus sp004560705
40000,0.018518518518518517,0.008823529411764706,0.013888888888888888,0.020618556701030927,3.3333333333333335,3.0,2.0548046676563256,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945897535.1 uncultured bacterium,b9280fde44ac459280eff44c493be699,0.011764705882352941,30000,8,1730000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9247652352037607,0.9165755252335301,0.9206703802186454,0.9247652352037607,True,10,185,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
60000,0.027777777777777776,0.010869565217391304,0.013888888888888888,0.010309278350515464,1.6666666666666667,2.0,0.4714045207910317,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_021531235.1 Blautia producta,4645e019875be83dc81769376aa27ccc,0.021739130434782608,30000,9,1700000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9321466962947733,0.9276772478722348,0.9299119720835041,0.9321466962947733,True,5,190,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia intestinalis
50000,0.023148148148148147,0.005244755244755245,0.013888888888888888,0.006185567010309278,1.0,1.0,0.0,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_000371545.1 [Clostridium] clostridioforme 90A6,b360ac44cb0bacf1a9cb01b1903c7c7c,0.008741258741258742,30000,10,1670000,outputs.mapping/bams.cds.rand/SRR5241534.x.s__JAFBIX01 sp021531895.fastq.gz,SRR5241534.x.s__JAFBIX01 sp021531895,8e7bb496,2160000,51,DNA,10000,216,True,0.9288202841803588,0.9112524425048556,0.9200363633426072,0.9288202841803588,True,3,193,485,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
