good,anchor,species,gene_name,description
1,1,s__Phascolarctobacterium_A succinatutens,CNENGHLA_01260,BLAST match to hydrogenase large subunit [Phascolarctobacterium succinatutens]
1,0,s__Phascolarctobacterium_A succinatutens,EHOAPHDI_01174,BLAST match to protein phosphatase 2C domain-containing protein partial [Phascolarctobacterium succinatutens]
1,0,s__Phascolarctobacterium_A succinatutens,CNENGHLA_00658,BLAST match to 4-hydroxy-3-methylbut-2-enyl diphosphate reductase partial [Phascolarctobacterium succinatutens]
1,0,s__Phascolarctobacterium_A succinatutens,IFIBFMPA_00800,BLAST match to  2-isopropylmalate synthase [Phascolarctobacterium sp.]
1,0,s__Lactobacillus amylovorus,BBOFCOCJ_01349,BLAST match to peptidase T [Lactobacillus sp.]
1,0,s__Lactobacillus amylovorus,OBGMJDLM_01221,BLAST match to calcium-translocating P-type ATPase PMCA-type [Lactobacillus acidophilus]
1,1,s__Lactobacillus amylovorus,OMBJBIHD_01711,BLAST match to LD-transpeptidase family protein [Lactobacillus amylovorus]
1,0,s__Bariatricus sp004560705,CHOLCMOC_00863,BLAST match to BREX system Lon protease-like protein BrxL [Pilosibacter fragilis] (also Bariatricus spp.)
1,0,s__Bariatricus sp004560705,LEHFNBLN_02301,BLAST match to YkgJ family cysteine cluster protein (also Bariatricus spp.)
1,0,s__Bariatricus sp004560705,AIEIMHOC_00182,BLAST match to competence protein ComEC family protein (also Bariatricus spp.)
1,0,s__Mogibacterium_A kristiansenii,EBLLCBKE_00022,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,FMBBPIHC_01435,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,LJHBCGLM_01294,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,BHHJJAAP_00933,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,IEPMJGAI_00771,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,NADIOELI_00170,BLAST match to isolate genome
1,1,s__Mogibacterium_A kristiansenii,DKAPMIEG_00121,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,PKGEEMPI_00758,BLAST match to isolate genome
1,0,s__Mogibacterium_A kristiansenii,AKLOHKAG_01416,BLAST match to isolate genome
1,0,s__Holdemanella porci,DAPDNANK_01228,BLAST match to isolate genome
0,0,s__Sodaliphilus sp004557565,HENFICJG_01772,non-specific Lysine-tRNA ligase
0,0,s__Sodaliphilus sp004557565,COJGPLPN_01769,non-specific Arginine--tRNA ligase
1,0,s__Sodaliphilus sp004557565,MMBDDDLD_00384,malate dehydrogenase
0,0,s__Sodaliphilus sp004557565,MMBDDDLD_00013,non-specific Penicillin-binding protein 1A
1,1,s__Sodaliphilus sp004557565,NLNOELNI_01902,IG-like domain-containing protein
1,0,s__Sodaliphilus sp004557565,FGLPJJIK_03110,GDP-L-fucose synthase
0,0,s__Sodaliphilus sp004557565,FGLPJJIK_00822,hypothetical protein - non species specific
0,0,s__Sodaliphilus sp004557565,JHPFMEME_00905,(not reviewed)
0,0,s__Sodaliphilus sp004557565,MPEKMBOO_01380,(not reviewed)
0,0,s__Sodaliphilus sp004557565,JJHEGIOA_01813,(not reviewed)
0,0,s__Sodaliphilus sp004557565,NDJDHOGF_01653,(not reviewed)
0,0,s__Sodaliphilus sp004557565,AAEOJEFG_01122,(not reviewed)
0,0,s__Sodaliphilus sp004557565,CLLAMLDG_01651,(not reviewed)
0,0,s__Sodaliphilus sp004557565,FAADKAJK_00893,(not reviewed)
0,0,s__Sodaliphilus sp004557565,DPOAHOKO_01468,(not reviewed)
0,0,s__Sodaliphilus sp004557565,EOMKCHNH_00522,(not reviewed)
0,0,s__Sodaliphilus sp004557565,EGMABDDJ_00836,(not reviewed)
0,0,s__Sodaliphilus sp004557565,LJMDNHJP_01661,(not reviewed)
0,0,s__Sodaliphilus sp004557565,GLBJPDIP_01314,(not reviewed)
0,0,s__Sodaliphilus sp004557565,MEOIMNPK_01451,(not reviewed)
0,0,s__Sodaliphilus sp004557565,MJDIBHAK_01283,(not reviewed)
0,0,s__Sodaliphilus sp004557565,GLBJPDIP_01316,(not reviewed)
0,0,s__Sodaliphilus sp004557565,NNPPMDPI_00793,(not reviewed)
0,0,s__Sodaliphilus sp004557565,ALDHKKPD_00051,(not reviewed)
0,0,s__Sodaliphilus sp004557565,KACAHIEH_02169,(not reviewed)
0,0,s__Sodaliphilus sp004557565,PIJJNDCA_00693,(not reviewed)
0,0,s__Sodaliphilus sp004557565,GMHGJHOL_02286,(not reviewed)
0,0,s__Sodaliphilus sp004557565,DFMPLLBI_02009,(not reviewed)
0,0,s__Sodaliphilus sp004557565,IKJKFBBO_01096,(not reviewed)
0,0,s__Sodaliphilus sp004557565,HNAPAPIF_01112,(not reviewed)
0,0,s__Sodaliphilus sp004557565,MOGKDPAH_00838,(not reviewed)
0,0,s__Sodaliphilus sp004557565,DFMPLLBI_01131,(not reviewed)
