intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1420000,0.0485968514715948,0.4982456140350877,0.0485968514715948,0.1556270435608058,20.781690140845072,2.0,42.06017088182373,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004553155.1 Bacteroidales bacterium,36b2fe2d609276794eb51314081e47b7,0.4982456140350877,1420000,0,27800000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9424259114708154,0.9864328333745574,0.9644293724226864,0.9864328333745574,False,2951,2951,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900546925
930000,0.03182751540041068,0.38235294117647056,0.031143052703627654,0.023257040396582638,4.846153846153846,4.0,3.4062743558498583,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022787365.1 Bacteroides sp.,6913d8594af95043282c55a6a1c280e5,0.3907563025210084,910000,1,26890000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9346374761103128,0.9817437761329574,0.9581906261216351,0.9817437761329574,False,441,3392,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000434935
1400000,0.04791238877481177,0.16467065868263472,0.018822724161533196,0.05110220440881764,17.618181818181817,3.0,34.65334348769298,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004562055.1 bacterium,6db660ba7feff2de802e4457511bab40,0.41916167664670656,550000,2,26340000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9421638309077478,0.9830955200563697,0.9626296754820587,0.9830955200563697,False,969,4361,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900546925
340000,0.01163586584531143,0.1440677966101695,0.01163586584531143,0.00796329501107478,4.4411764705882355,2.5,4.641191381471612,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_034089285.1 Candidatus Cryptobacteroides sp.,3439569af4613a03d1b257bfeb3174cc,0.1440677966101695,340000,3,26000000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9163776415654864,0.9627229214368932,0.9395502815011898,0.9627229214368932,False,151,4512,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp034089285
460000,0.01574264202600958,0.08994708994708994,0.01163586584531143,0.03243328762788735,18.08823529411765,18.0,11.56914671483349,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004552745.1 Bacteroidales bacterium,3e08b90199a5db83c0a22b1dda3b56da,0.12169312169312169,340000,4,25660000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9218252095442323,0.9595421124595728,0.9406836610019025,0.9595421124595728,False,615,5127,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000433355
300000,0.01026694045174538,0.14084507042253522,0.01026694045174538,0.045617550891256194,28.833333333333332,27.0,19.56030560997337,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022773225.1 Bacteroidales bacterium,0ad509b048b11225407a49c1721d0423,0.14084507042253522,300000,5,25360000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9141314439639608,0.9622959540759237,0.9382136990199423,0.9622959540759237,False,865,5992,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004554455
340000,0.01163586584531143,0.07954545454545454,0.007186858316221766,0.008385191435502584,7.571428571428571,2.0,10.540495283255268,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022777585.1 Bacteroidales bacterium,1bb66dc9a7ba6096b618b6a9df926ea2,0.12878787878787878,210000,6,25150000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9163776415654864,0.9606088168188839,0.9384932291921851,0.9606088168188839,False,159,6151,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp022777585
1100000,0.03764544832306639,0.08823529411764706,0.006160164271047228,0.002267693281299441,2.388888888888889,2.0,3.147113119615233,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022785105.1 Bacteroides sp.,d754d702cd036ced9879c8d80818814a,0.5392156862745098,180000,7,24970000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9377191681052627,0.9879624570018881,0.9628408125535755,0.9879624570018881,False,43,6194,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900546925
180000,0.006160164271047228,0.07725321888412018,0.006160164271047228,0.0029532749709946207,3.111111111111111,2.0,2.579597059165311,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_034087485.1 Candidatus Cryptobacteroides sp.,9c6f02a1c2aaca988d48e37a5dfed069,0.07725321888412018,180000,8,24790000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9050210328876483,0.9510304948186574,0.9280257638531528,0.9510304948186574,False,56,6250,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004552965
220000,0.007529089664613279,0.04556962025316456,0.006160164271047228,0.007594135639700453,8.0,3.5,10.16530045465127,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_963636355.1 Oscillospiraceae bacterium,d6e43d61da476db801f22b1251768934,0.05569620253164557,180000,9,24610000,outputs.mapping/bams.cds.rand/SRR14369136.x.s__Cryptobacteroides sp900546925.fastq.gz,SRR14369136.x.s__Cryptobacteroides sp900546925,f6c17571,29220000,51,DNA,10000,2922,True,0.9085890517841902,0.9449489457041761,0.9267689987441832,0.9449489457041761,False,144,6394,18962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sinensis
