intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage
1680000,0.1504028648164727,0.7636363636363637,0.1504028648164727,0.22720478325859492,11.761904761904763,4.0,85.25544516161544,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_002320005.1 Firmicutes bacterium UBA1702,7e08ba56ee426e63c2029467361ad169,0.7636363636363637,1680000,0,9490000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9635356034535055,0.9947264334127291,0.9791310184331173,0.9947264334127291,False,1976,1976,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
1560000,0.1396598030438675,0.11981566820276497,0.023276633840644583,0.010233413820857767,3.423076923076923,4.0,2.1869029193583844,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945917585.1 uncultured Firmicutes bacterium,b70fcd2c576dbcd8467b57ad6ab73a3d,0.7188940092165899,260000,1,9230000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9621365090399824,0.9935494954589759,0.9778430022494791,0.9935494954589759,False,89,2065,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
1040000,0.09310653536257833,0.07692307692307693,0.01432408236347359,0.003219500977348511,1.75,1.0,1.6770509831248424,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945864645.1 uncultured Firmicutes bacterium,2b8c11e85ff978fb6584aa90b61f1719,0.5,160000,2,9070000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.954517565332998,0.9865008210958766,0.9705091932144373,0.9865008210958766,False,28,2093,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
130000,0.011638316920322292,0.03225806451612903,0.011638316920322292,0.012763021731631597,8.538461538461538,2.0,14.425486978130513,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022782205.1 Lachnospiraceae bacterium,5d1fe08c84b2c770dab5488addf16ba5,0.03225806451612903,130000,3,8940000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9163814261426484,0.9348837561077591,0.9256325911252037,0.9348837561077591,False,111,2204,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp004556655
130000,0.011638316920322292,0.04980842911877394,0.011638316920322292,0.03667931470622054,24.53846153846154,3.0,74.3439153628546,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_022787405.1 Bacillota bacterium,c434930ebfcc110ce818ba51905c9e2e,0.04980842911877394,130000,4,8810000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9163814261426484,0.9428810741934401,0.9296312501680443,0.9428810741934401,False,319,2523,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp022787405
1680000,0.1504028648164727,0.05741626794258373,0.010743061772605193,0.020121881108428195,14.583333333333334,3.5,34.3837615096946,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_945936195.1 uncultured Firmicutes bacterium,709cb201460207a15a23fa15a6fcb8c5,0.8038277511961722,120000,5,8690000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9635356034535055,0.9957273836578037,0.9796314935556546,0.9957273836578037,False,175,2698,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Fimisoma;s__Fimisoma sp002320005
70000,0.006266786034019696,0.015765765765765764,0.006266786034019696,0.1541911003794412,191.57142857142858,9.0,418.29239846337737,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_020731525.1 Roseburia inulinivorans DSM 16841,b1e9f68d57ff5c0cb20a4cb3ad79b686,0.015765765765765764,70000,6,8620000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9053256003559067,0.9218517400997233,0.913588670227815,0.9218517400997233,False,1341,4039,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans
60000,0.005371530886302597,0.024489795918367346,0.005371530886302597,0.03656433252845809,53.0,16.0,66.5331997326648,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_004559325.1 bacterium,1233462b0e3f0bfb40fa4e874dd5742d,0.024489795918367346,60000,7,8560000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9025933285932055,0.929846956353493,0.9162201424733493,0.929846956353493,True,318,4357,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
110000,0.009847806624888093,0.015873015873015872,0.005371530886302597,0.09888467287570427,143.33333333333334,4.0,223.59611405885886,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCF_040096555.1 Coprococcus intestinihominis,b0eaca5ba589f9715c39079e7665ea4d,0.0291005291005291,60000,8,8500000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9133846651013032,0.9329973484919181,0.9231910067966107,0.9329973484919181,False,860,5217,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A intestinihominis
80000,0.007162041181736795,0.01675977653631285,0.005371530886302597,0.019776934575140855,28.666666666666668,5.5,51.828777934871496,/group/ctbrowngrp5/sourmash-db.new/gtdb-rs226/gtdb-rs226-k51.dna.rocksdb,GCA_959018085.1 uncultured Roseburia sp.,2c67099d0f6d1ac73f621f8f79721e87,0.0223463687150838,60000,9,8440000,outputs.mapping/bams.cds.rand/SRR11489781.x.s__Fimisoma sp002320005.fastq.gz,SRR11489781.x.s__Fimisoma sp002320005,4efc54c0,11170000,51,DNA,10000,1117,True,0.9076990863654895,0.9281785099837485,0.917938798174619,0.9281785099837485,False,172,5389,8697,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis
